name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
formaldehyde,NA,HCHO,aq,"SS93 [S98]",SLOP98.5,2.Jun.98,-26130,-34663,28.5,15.7,26.9,5.3113,5.3139,3.3901,-2.9986,18.9581,-3.4097,-0.3984,0
acetaldehyde,NA,CH3CHO,aq,"SS93 [S98]",NA,14.Jan.93,-33470,-50380,33,34.9,43.7,7.6203,10.5479,2.1995,-3.215,34.5782,-1.5128,-0.3686,0
propanal,NA,CH3CH2CHO,aq,"SS93 [S98]",NA,14.Jan.93,-32730,-57360,39.7,56.1,59.5,9.7974,15.4784,1.088,-3.4188,51.9312,0.5817,-0.3242,0
butanal,NA,CH3(CH2)2CHO,aq,"SS93 [S98]",NA,14.Jan.93,-28720,-61070,46.6,77.3,75.3,11.9745,20.4152,-0.0393,-3.6229,69.2842,2.6762,-0.2798,0
pentanal,NA,CH3(CH2)3CHO,aq,"SS93 [S98]",NA,14.Jan.93,-27020,-67100,53.1,98.5,91.1,14.1516,25.3457,-1.1508,-3.8267,86.637,4.7708,-0.2354,0
hexanal,NA,CH3(CH2)4CHO,aq,"SS93 [S98]",NA,14.Jan.93,-24850,-72650,59.8,119.7,106.9,16.3287,30.2824,-2.2778,-4.0308,103.9898,6.8654,-0.1909,0
heptanal,NA,CH3(CH2)5CHO,aq,"SS93 [S98]",NA,14.Jan.93,-21490,-77010,66.5,140.9,122.7,18.5058,35.2192,-3.4052,-4.2349,121.3428,8.9599,-0.1465,0
octanal,NA,CH3(CH2)6CHO,aq,"SS93 [S98]",NA,14.Jan.93,-20310,-83550,73.2,162.1,138.5,20.6828,40.1499,-4.5165,-4.4387,138.6956,11.0545,-0.1021,0
nonanal,NA,CH3(CH2)7CHO,aq,"SS93 [S98]",NA,14.Jan.93,-18100,-89060,79.9,183.3,154.3,22.8599,45.0867,-5.6439,-4.6428,156.0486,13.149,-0.0577,0
decanal,NA,CH3(CH2)8CHO,aq,"SS93 [S98]",NA,14.Jan.93,-16600,-95290,86.6,204.5,170.1,25.037,50.0234,-6.7709,-4.8469,173.4014,15.2436,-0.0133,0
LaCl+2,NA,LaCl+2,aq,"HSS95 [S98]",NA,21.Jan.98,-195800,-206100,-25.7,-4.4,-16.7,0.0273,-7.7112,8.7724,-2.4601,16.8429,-3.9594,1.4477,2
LaCl2+,NA,LaCl2+,aq,"HSS95 [S98]",NA,21.Jan.98,-226700,-244900,-9.6,-9.8,8.4,3.1785,-0.0177,5.7515,-2.7782,6.8244,-5.0483,0.7003,1
LaCl3,NA,LaCl3,aq,"HSS95 [S98]",SLOP98.10,2.Jun.98,-257600,-286480,-3.3,-53.2,36.3,6.7243,8.6386,2.3517,-3.136,-25.3096,-13.8787,-0.03,0
LaCl4-,NA,LaCl4-,aq,"HSS95 [S98]",NA,21.Jan.98,-288400,-331200,-7.8,-134.4,66.7,11.5517,20.427,-2.2839,-3.6234,-56.5845,-30.4508,1.7506,-1
LaF+2,NA,LaF+2,aq,"HSS95 [S98]",NA,21.Jan.98,-236600,-243400,-16.3,-0.3,-35.8,-2.6366,-14.2103,11.3144,-2.1914,17.9127,-3.1239,1.3029,2
LaF2+,NA,LaF2+,aq,"HSS95 [S98]",NA,21.Jan.98,-307800,-325200,-12,0,-32,-2.3404,-13.4887,11.0343,-2.2213,12.8261,-3.0531,0.7287,1
LaF3,NA,LaF3,aq,"HSS95 [S98]",NA,21.Jan.98,-377900,-410200,-22.3,-36.2,-27.8,-2.0506,-12.7816,10.7577,-2.2505,-15.3002,-10.3998,-0.03,0
LaF4-,NA,LaF4-,aq,"HSS95 [S98]",NA,21.Jan.98,-447500,-500100,-50.4,-108.4,-24.1,-0.6263,-9.306,9.3958,-2.3942,-35.5432,-25.1639,2.3834,-1
LaOH+2,NA,LaOH+2,aq,"HSS95 [S98]",SLOP98.10,2.Jun.98,-208900,-217580,-6.6,-29.6,3.8,2.6766,-1.2486,6.246,-2.7273,-0.5065,-9.064,1.1586,2
LaO+,NA,LaO+,aq,"HSS95 [S98]",SLOP98.10,2.Jun.98,-195900,-199870,9.2,-71.2,6.4,2.7794,-0.9938,6.1373,-2.7378,-31.7836,-17.5379,0.41,1
LaO2H,NA,LaO2H,aq,"HSS95 [S98]",NA,21.Jan.98,-239300,-249500,44,-124.2,22.7,4.8611,4.0853,4.1503,-2.9478,-66.8987,-28.334,-0.03,0
LaO2-,NA,LaO2-,aq,"HSS95 [S98]",SLOP98.10,2.Jun.98,-221700,-234950,33.8,-104,20.1,4.8931,4.1637,4.1178,-2.951,-44.4914,-24.2193,1.1172,-1
LaNO3+2,NA,LaNO3+2,aq,"HSS95 [S98]",NA,21.Jan.98,-191300,-226000,-37.8,19.8,-5.6,1.6239,-3.8134,7.243,-2.6213,32.7363,0.9705,1.6332,2
LaHCO3+2,NA,LaHCO3+2,aq,"HSS95 [S98]",NA,21.Jan.98,-307000,-332900,-13.7,34.5,-9.9,0.8988,-5.5828,7.9358,-2.5481,38.0197,3.9723,1.2693,2
