name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
gehlenite,Gh,Ca2(Al2Si)O7,cr,"HDNB78 [S92]","SPRONS92.2",15.Mar.90,-903148,-951225,48.1,NA,90.24,63.74,8,-15.12,0,0,0,0,1800
gibbsite,Gbs,Al(OH)3,cr,"HDNB78 [S92]",NA,5.May.78,-276168,-309065,16.75,NA,31.956,8.65,45.6,0,0,0,0,0,425
glaucophane,Gln,Na2(Mg3Al2)Si8O22(OH)2,cr,"HDNB78 [S92]",NA,5.May.78,NA,NA,130,NA,269.7,190.26,59.36,-50.01,0,0,0,0,800
gold,Au,Au,cr,"HDNB78 [S92]",NA,5.May.78,0,0,11.33,NA,10.215,5.66,1.24,0,0,0,0,0,1336
graphite,Gr,C,cr,"HDNB78 [S92]",NA,5.May.78,0,0,1.372,NA,5.298,4.03,1.14,-2.04,0,0,0,0,2500
greenalite,Grn,Fe3Si2O5(OH)4,cr,"HDNB78 [S92]",NA,5.May.78,-715340,-644110,72.6,NA,115,81.65,32.6,-15.39,0,0,0,0,1000
grossular,Grs,Ca3Al2Si3O12,cr,"HDNB78 [S92]","SPRONS92.2",15.Mar.90,-1496307,-1582737,60.87,NA,125.3,104.017,17.013,-27.318,0,0,0,0,1000
grunerite,Gru,Fe7Si8O22(OH)2,cr,"HDNB78 [S92]",NA,5.May.78,NA,NA,163.3,NA,256.67,198.83,60.93,-39.55,0,0,0,0,800
halite,Hl,NaCl,cr,"HDNB78 [S92]",NA,5.May.78,-91807,-98260,17.24,NA,27.015,10.98,3.9,0,0,0,0,0,1073
halloysite,Hal,Al2Si2O5(OH)4,cr,"HDNB78 [S92]","RHF79.1 [S92]",5.May.78,NA,NA,48.52,NA,99.3,72.77,29.2,-21.52,0,0,0,0,1000
hastingsite,Hs,Na(Ca2Fe4Fe)(Al2Si6)O22(OH)2,cr1,"HDNB78 [S92]",NA,5.May.78,NA,NA,189.2,NA,280.3,211.57,50.88,-44.88,0,0,0,0,950
hastingsite,Hs,Na(Ca2Fe4Fe)(Al2Si6)O22(OH)2,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-79.315,NA,187.1167,NA,280.3,217.82,41.58,-43.1,0,0,0,0,1050
hastingsite,Hs,Na(Ca2Fe4Fe)(Al2Si6)O22(OH)2,cr3,"HDNB78 [S92]",CHNOSZ.1,5.May.78,477.644,NA,189.1492,NA,280.3,215.68,42.46,-43.1,0,0,0,0,1500
hedenbergite,Hd,CaFe(SiO3)2,cr,"HDNB78 [S92]","SPRONS92.2",5.Mar.90,-638998,-678276,40.7,NA,68.27,54.81,8.17,-15.01,0,0,0,0,1600
hematite,Hem,Fe2O3,cr1,"HDNB78 [S92]",NA,5.May.78,-178155,-197720,20.94,NA,30.274,23.49,18.6,-3.55,0,0,0,0,950
hematite,Hem,Fe2O3,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-178206.12,-198965.094,16.9353,NA,30.274,36,0,0,0,0,0,0,1050
hematite,Hem,Fe2O3,cr3,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-177088.429,-196631.631,21.0129,NA,30.274,31.71,1.76,0,0,0,0,0,1800
